"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"6418",-1.15784423076923,-1.43052662721894,-5.11913997647853,0.000158011118087158,0.0029039291364468,0.541431133325133
"28419",-1.60320288461538,-3.98465976331361,-5.10488238319263,0.000162200477365418,0.00297180058707909,0.51459916601452
"17230",-1.22135673076923,-3.03914201183432,-5.10297225485048,0.000162770437787402,0.00298072327179591,0.511002593126212
"22125",-1.22453173076923,-3.08002662721894,-5.10104275221633,0.000163348291378405,0.00298825904324577,0.507369104294217
"4249",-1.09894711538462,-1.93799408284024,-5.09417827033041,0.000165421419270014,0.00301696760048342,0.49443889763933
"17386",-1.53609615384615,-5.20686390532544,-5.09311989876726,0.000165743478874051,0.0030197755844147,0.492444814967797
"28290",-1.72712692307692,-3.34256804733728,-5.09180547367465,0.00016614436156751,0.0030255452441759,0.489968117646326
"669",-1.54999519230769,2.3724201183432,-5.08962640011553,0.000166811170581013,0.00303614921368046,0.48586176529199
"14917",-1.12378173076923,-2.23237278106509,-5.08741888784249,0.000167489516100809,0.00304541033602529,0.481701253995698
"39054",-1.13178173076923,-3.78518047337278,-5.08251674898006,0.000169006155104019,0.00306645252279829,0.47246012321351
"1511",-1.33325192307692,-4.70372189349112,-5.08230007500487,0.000169073518541107,0.00306645252279829,0.472051601394952
"28954",-1.09995961538462,-3.3500325443787,-5.07639131678011,0.000170921324650952,0.00309060506964473,0.460908985049137
"3828",-1.19039038461538,-0.842659763313609,-5.07564162451971,0.000171157265293741,0.0030933145798485,0.459494939086339
"13196",-1.04219519230769,-1.83365680473373,-5.07454133437209,0.000171504157432266,0.00309646878009241,0.45741948764659
"16004",-1.36706057692308,-3.97993195266272,-5.06933913907305,0.000173154182422591,0.00311958735890239,0.447604797401018
"26326",-1.28530192307692,-4.09249112426035,-5.06801852588992,0.000173575669795531,0.00312132144148331,0.445112768744163
"729",-1.07285480769231,1.14646449704142,-5.06604743086435,0.000174206747470132,0.00313110266626032,0.441392887695979
"1242",-1.58137884615385,-1.97167455621302,-5.05907508666894,0.000176458235334828,0.00316365665536179,0.428230946996912
"2564",-1.40086634615385,-3.45271301775148,-5.05708151069696,0.000177107532239885,0.00317371397797847,0.42446656539639
"38122",-1.38885576923077,-3.68585798816568,-5.05049866020121,0.00017926920125356,0.00320445926957171,0.412033187100679
"11315",-1.34557884615385,2.79490236686391,-5.0492154229253,0.000179693769066856,0.00321045123262212,0.409608884572356
"39223",-1.33635673076923,-3.75791124260355,-5.04213407665783,0.000182055524297172,0.00324297121094352,0.396227323337862
"642",-1.15093461538462,0.529736686390532,-5.04094888858712,0.000182453942091174,0.00324845772318821,0.393987117727437
"7329",-1.02252403846154,1.16566863905325,-5.03972450036001,0.000182866487944982,0.0032509698393742,0.391672647086182
"13638",-1.31549326923077,-2.24201183431953,-5.03687236177709,0.000183831246994282,0.00326166561642349,0.386280557216132
"3201",-1.28053365384615,-0.966248520710059,-5.02834675484592,0.000186746719774705,0.00330523295309625,0.370156951500769
"8662",-1.27326153846154,-1.85575443786982,-5.02614453470671,0.000187507574926953,0.0033154329033221,0.36599076129387
"30217",-1.15420673076923,0.960704142011835,-5.02379647304754,0.000188322361550649,0.00332656545140279,0.361548053275717
"36699",-1.12579038461538,0.97557100591716,-5.02198945757995,0.000188951903968079,0.0033327702295872,0.358128614730687
"20990",-1.56179423076923,-2.89379585798816,-5.02119315627575,0.000189230018507929,0.00333603794650215,0.356621644817944
"739",-1.20313942307692,1.52223964497041,-5.01945929067683,0.00018983705502495,0.00334509835703356,0.353340119006971
