"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"18845",-6.30747619047619,-1.5935637755102,-13.4691225631228,9.37649933583755e-10,1.20813636715175e-07,12.781668031028
"26888",-4.38306101190476,0.237887755102041,-13.4471253496551,9.591247664122e-10,1.23132854522766e-07,12.7588163865649
"17026",-5.13872321428571,-0.868770408163265,-13.4264915744907,9.79743671461385e-10,1.25325839389499e-07,12.7373492072996
"4436",-6.36222619047619,-1.36054591836735,-13.401219876871,1.00564042629561e-09,1.28175745413425e-07,12.7110145609889
"6255",-7.45983482142857,-1.82597704081633,-13.3877175777336,1.01977371748035e-09,1.29511262120005e-07,12.6969252509444
"31389",-4.89822321428571,0.080836734693878,-13.3807757608648,1.02712189350117e-09,1.29978607330096e-07,12.6896764551805
"7089",-4.76806994047619,0.67059693877551,-13.3753177008571,1.03293893235435e-09,1.30249555836697e-07,12.6839745559351
"6237",-6.12788541666667,-1.13003571428571,-13.3623017840189,1.0469525516614e-09,1.31548474336944e-07,12.6703683520972
"16997",-6.24248363095238,-2.20084183673469,-13.3562720792779,1.05351273986457e-09,1.31905006754846e-07,12.6640609867249
"32352",-7.03024107142857,-1.70524489795918,-13.3215520266185,1.09214653299116e-09,1.36260662336183e-07,12.6276901923452
"15254",-8.72024702380952,-2.43920663265306,-13.3166870060497,1.09767898277042e-09,1.36470383847384e-07,12.6225867880913
"1694",-5.54979464285714,-1.50795408163265,-13.3001418194977,1.11671775828901e-09,1.38351959193897e-07,12.6052178467562
"4425",-6.20827380952381,-1.06366836734694,-13.2800289996666,1.14033519336744e-09,1.40785703507277e-07,12.5840764464943
"10757",-7.06877380952381,-1.31316836734694,-13.2465103027314,1.18088056236407e-09,1.45285211688355e-07,12.5487770990596
"31429",-4.99215178571429,0.255859693877551,-13.2187737369171,1.21558887533261e-09,1.48636271330087e-07,12.5195040299706
"9830",-3.76518601190476,0.0924948979591836,-13.2155305012833,1.21971749228095e-09,1.48636271330087e-07,12.5160773953237
"26030",-6.0589880952381,-1.32691581632653,-13.2121189277965,1.22407647321547e-09,1.48636271330087e-07,12.5124720584435
"1725",-6.85088095238095,-1.00965816326531,-13.2114778332289,1.22489744668488e-09,1.48636271330087e-07,12.5117944555844
"35051",-7.33034821428572,-0.941002551020408,-13.1976825226777,1.24270582892826e-09,1.50185054493358e-07,12.4972061253348
"2593",-6.16905952380953,-0.865117346938775,-13.1950479516884,1.24613795109212e-09,1.50185054493358e-07,12.4944184928673
