"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"340",-1.25074851190476,1.05505867346939,-5.33140364110148,8.5355895851819e-05,0.00144570528571582,1.06921636899831
"9144",-1.26428571428572,-2.42242602040816,-5.32925953832911,8.5702472095877e-05,0.00145017770088154,1.06506488009471
"614",-1.16340327380952,-1.0544362244898,-5.3259711394295,8.62368503583175e-05,0.00145644915097534,1.05869670582059
"7967",-1.26919345238095,-2.28632397959184,-5.31933252275094,8.73262006388714e-05,0.00147064128670966,1.04583674279857
"10610",-1.27486904761905,-2.06310459183673,-5.31765883451258,8.76030852654404e-05,0.00147460338252273,1.0425937439162
"6540",-1.68235416666667,-1.64244642857143,-5.31705064053532,8.77039263289612e-05,0.00147559982032957,1.04141520332389
"13312",-1.87709523809524,3.25320918367347,-5.31627293249703,8.7833048790068e-05,0.00147637021716247,1.03990811969981
"11137",-1.19595535714286,-1.41488265306122,-5.31244325326938,8.84717678110902e-05,0.00148358738705649,1.03248572453743
"27230",-1.32986458333333,-2.27542857142857,-5.31114697190467,8.86890519798128e-05,0.00148652752071935,1.02997297809488
"3479",-1.39511011904762,2.44056887755102,-5.30962917750372,8.89441693203535e-05,0.00148960314043772,1.0270305932033
"21439",-1.63305952380952,-2.00415051020408,-5.30291474933158,9.00819140118884e-05,0.00150560021659587,1.01401079916368
"3966",-1.21544047619048,1.53525765306122,-5.29141250359568,9.20661129579272e-05,0.0015351428613827,0.991694747811702
"7864",-1.82564136904762,-3.65957397959184,-5.28940244423251,9.24174802249035e-05,0.00153929868749835,0.987793344095283
"42769",-1.69923511904762,-3.15523469387755,-5.28872116111785,9.25368864924537e-05,0.00154009370553645,0.986470907406471
"28444",-1.2608318452381,-3.11595918367347,-5.28576557996059,9.30567550389684e-05,0.00154584153834776,0.980733208403596
"17743",-1.42437351190476,-2.43781632653061,-5.28433230019487,9.33099485263503e-05,0.00154932118375547,0.977950400310442
