,log2FoldChange,AveExpr,t,P.Value,padj,B
11927,-0.288072917,-1.141441176,-1.784690553,0.082933097,0.16281682,-6.073539271
42750,-0.291712698,-0.172157271,-1.784670882,0.082936346,0.16281682,-6.073572297
14882,0.232386607,0.667257353,1.784584279,0.082950652,0.162830427,-6.073717692
10353,0.338509425,-0.007381127,1.784582673,0.082950917,0.162830427,-6.073720389
23864,0.318794048,-0.026733252,1.784533958,0.082958965,0.162838725,-6.073802171
20398,0.436860813,-0.101811275,1.784194551,0.083015055,0.162941097,-6.074371919
924,-0.369446925,-0.816010621,-1.784172116,0.083018764,0.162941097,-6.074409577
16696,-0.337924107,1.560427696,-1.784112915,0.083028551,0.162952803,-6.074508945
9346,0.569830556,-0.027930556,1.784001396,0.083046991,0.162978844,-6.07469612
2078,-0.231902679,0.452841912,-1.783982238,0.083050159,0.162978844,-6.074728274
17653,-0.62214494,1.842678922,-1.783963296,0.083053291,0.162978844,-6.074760066
3752,-0.272619841,-0.253877451,-1.78370427,0.083096136,0.163055414,-6.075194773
9219,-0.248309821,0.624670752,-1.783620021,0.083110075,0.163075259,-6.075336153
3765,-0.25579494,-1.234328023,-1.783523025,0.083126126,0.163099246,-6.075498916
33384,0.497547718,-0.174664216,1.783491341,0.08313137,0.163102026,-6.075552081
21326,-0.259620139,-0.528219771,-1.783445167,0.083139012,0.163109512,-6.075629559
36727,-0.225354762,-0.478912582,-1.783356752,0.083153647,0.163130716,-6.07577791
32955,-0.30758244,1.359128268,-1.783103237,0.083195623,0.163205553,-6.07620325
19959,0.27608502,-0.321075572,1.782856302,0.083236527,0.163271367,-6.0766175
32039,-0.254679365,-0.707948529,-1.782844813,0.083238431,0.163271367,-6.076636772
3566,-0.972728274,0.291772467,-1.78283133,0.083240665,0.163271367,-6.07665939
24025,-0.547734821,-0.09420384,-1.782763964,0.083251827,0.163285748,-6.076772392
28205,-0.686990675,-0.651254902,-1.782733734,0.083256836,0.163288059,-6.0768231
13003,-0.252011706,-0.289600082,-1.782618635,0.083275912,0.163317956,-6.077016159
10574,-0.198989683,-0.559341095,-1.782480811,0.083298758,0.163355246,-6.077247322
11107,0.301139385,-0.328442402,1.782423242,0.083308303,0.163366447,-6.077343873
40171,-0.34593631,-0.651906863,-1.782117419,0.083359021,0.163458385,-6.077856743
24516,-0.161058135,0.316423611,-1.782053593,0.08336961,0.163464928,-6.077963772
12882,-0.232509127,0.498834559,-1.782051072,0.083370028,0.163464928,-6.077967999
30285,0.590405655,-0.661035539,1.781857581,0.083402134,0.163520357,-6.078292438
14050,0.295119048,-0.102897059,1.781637005,0.083438748,0.163579438,-6.078662257
6246,-0.754566667,2.841293301,-1.781599609,0.083444956,0.163579438,-6.07872495
54,-0.480121131,0.61826348,-1.781592853,0.083446078,0.163579438,-6.078736278
3906,-0.460228571,0.710127451,-1.781583572,0.083447619,0.163579438,-6.078751836
26704,0.25433244,0.054549428,1.781556573,0.083452102,0.163580703,-6.0787971
7426,0.429176885,0.251296977,1.781521709,0.083457891,0.163581978,-6.078855548
24313,-0.422976984,-0.708914216,-1.781506429,0.083460428,0.163581978,-6.078881162
27822,-0.884478175,0.047087827,-1.781439218,0.08347159,0.163596277,-6.078993835
