,log2FoldChange,AveExpr,t,P.Value,padj,B
31288,-1.571566406,2.881671875,-4.948634827,0.000261712,0.001842616,-0.089143618
22717,-1.030738281,0.750026042,-4.948461456,0.000261792,0.00184288,-0.089462164
2384,-0.745832031,-0.539809896,-4.948363135,0.000261838,0.001842898,-0.089642818
7396,-1.574542969,2.553320313,-4.948129409,0.000261947,0.001843105,-0.090072267
41377,0.993210938,0.709882813,4.948114617,0.000261954,0.001843105,-0.090099446
35183,-1.502753906,-1.060734375,-4.947832553,0.000262086,0.001843726,-0.090617723
27821,2.277507813,-0.936932292,4.947510881,0.000262236,0.001844478,-0.091208785
17024,4.531453125,-1.227117188,4.946798307,0.000262569,0.001846466,-0.092518164
27303,-0.951457031,1.215007813,-4.946720514,0.000262605,0.001846466,-0.092661116
31618,-1.170539063,-1.017007813,-4.945988033,0.000262948,0.001848475,-0.094007144
16016,-0.979082031,0.914158854,-4.945901518,0.000262988,0.001848475,-0.094166131
21660,-0.8865,-0.058210938,-4.945831797,0.000263021,0.001848475,-0.094294255
39743,-0.897140625,0.272585938,-4.945106046,0.000263361,0.00185056,-0.095627992
22486,-3.509335938,0.787776042,-4.944543524,0.000263625,0.001851857,-0.096661798
35881,-1.202992188,-1.707122396,-4.944527638,0.000263632,0.001851857,-0.096690994
17756,-2.319007813,-1.980643229,-4.944382169,0.000263701,0.001852031,-0.096958345
28253,-1.550101563,-1.376653646,-4.94314551,0.000264282,0.001855809,-0.099231239
657,-1.136453125,0.246533854,-4.942391083,0.000264637,0.001857998,-0.100617912
27079,0.91671875,-0.419833333,4.941689567,0.000264968,0.001860014,-0.101907392
35477,-1.467664063,-1.302635417,-4.94148587,0.000265064,0.001860383,-0.102281824
3315,-1.635261719,1.535986979,-4.941055766,0.000265268,0.001861502,-0.103072451
7941,-0.683988281,-0.62371875,-4.939709183,0.000265905,0.001865665,-0.10554791
29310,-0.997488281,1.866484375,-4.938408666,0.000266521,0.001869616,-0.107938887
31688,-1.148492188,-0.679690104,-4.93833681,0.000266555,0.001869616,-0.108071
8678,-1.139808594,0.638927083,-4.938189182,0.000266626,0.001869801,-0.108342423
21449,-0.882191406,-0.981895833,-4.938053502,0.00026669,0.001869945,-0.108591884
